k,domain,eval_seed,tightening,n_gen1,revoke_rate,regeneration_success_rate,random_redraw_success_rate,SR_discard,GC_discard,SR_regenerate,n_revoked,n_regen_ok,n_redraw_ok,Rel_baseline,Rel_discard,Rel_regenerate
32,Healthcare,32043,0.05,195,0.36923076923076925,0.8888888888888888,0.013888888888888888,0.6307692307692307,0.6307692307692307,0.958974358974359,72,64,1,0.8941973272630649,0.7101802941557084,0.8848815014693461
33,RLV,33042,0.05,200,0.26,0.8653846153846154,0.019230769230769232,0.74,0.74,0.965,52,45,1,0.9048324944504118,0.7783663429451985,0.8968091217534574
33,Healthcare,33043,0.05,195,0.3333333333333333,0.8923076923076924,0.07692307692307693,0.6666666666666666,0.6666666666666667,0.9641025641025641,65,58,5,0.9038060157990925,0.7379545217218693,0.8955834041614676
34,RLV,34042,0.05,195,0.2923076923076923,0.8596491228070176,0.05263157894736842,0.7076923076923077,0.7076923076923076,0.958974358974359,57,49,3,0.8938160864111114,0.7519178661269069,0.8845042324178598
34,Healthcare,34043,0.05,196,0.2653061224489796,0.8269230769230769,0.038461538461538464,0.7346938775510204,0.7346938775510203,0.9540816326530612,52,43,2,0.9042163917716658,0.7750426215185706,0.8936526746500799
35,RLV,35042,0.05,197,0.34517766497461927,0.8382352941176471,0.029411764705882353,0.6548223350253807,0.6548223350253808,0.9441624365482234,68,57,2,0.8860887005718592,0.7170326646244244,0.8734516668925911
35,Healthcare,35043,0.05,195,0.24102564102564103,0.8936170212765957,0.0425531914893617,0.7589743589743589,0.7589743589743589,0.9743589743589743,47,42,2,0.9052087435703869,0.788610022490299,0.8993494794626969
36,RLV,36042,0.05,195,0.3333333333333333,0.8461538461538461,0.015384615384615385,0.6666666666666666,0.6666666666666667,0.9487179487179487,65,55,1,0.8868820970989294,0.7241361999672874,0.8752863735575076
36,Healthcare,36043,0.05,200,0.24,0.9375,0.020833333333333332,0.76,0.76,0.985,48,45,1,0.9027247918045167,0.7869772282609365,0.8993203636301838
37,RLV,37042,0.05,197,0.27411167512690354,0.9074074074074074,0.037037037037037035,0.7258883248730964,0.7258883248730965,0.9746192893401016,54,49,2,0.8959858058711879,0.7633716643680786,0.8902456910690186
37,Healthcare,37043,0.05,197,0.28426395939086296,0.9642857142857143,0.05357142857142857,0.7157360406091371,0.7157360406091371,0.9898477157360406,56,54,3,0.8981536664079264,0.7598486397365284,0.8958653582210248
38,RLV,38042,0.05,197,0.3350253807106599,0.8181818181818182,0.045454545454545456,0.6649746192893401,0.6649746192893401,0.9390862944162437,66,54,3,0.8899228258712488,0.7256962535179006,0.876049652746299
38,Healthcare,38043,0.05,198,0.2777777777777778,0.8727272727272727,0.03636363636363636,0.7222222222222222,0.7222222222222222,0.9646464646464646,55,48,2,0.8935838561369018,0.7594002532455917,0.8855790995904436
39,RLV,39042,0.05,194,0.27835051546391754,0.9444444444444444,0.05555555555555555,0.7216494845360825,0.7216494845360825,0.9845360824742269,54,51,3,0.8919571175067089,0.7577171694613426,0.8884886508456886
39,Healthcare,39043,0.05,198,0.30808080808080807,0.8524590163934426,0.03278688524590164,0.6919191919191919,0.6919191919191919,0.9545454545454546,61,52,2,0.9072645243761747,0.754677875141759,0.8967741541757105
40,RLV,40042,0.05,194,0.28865979381443296,0.8928571428571429,0.07142857142857142,0.711340206185567,0.711340206185567,0.9690721649484536,56,50,4,0.8835527036540407,0.7451970695505407,0.8766404176233238
40,Healthcare,40043,0.05,197,0.2436548223350254,0.8541666666666666,0.020833333333333332,0.7563451776649747,0.7563451776649746,0.9644670050761421,48,41,1,0.8868419128008799,0.7712696308594236,0.8788566711919739
41,RLV,41042,0.05,196,0.22448979591836735,0.8636363636363636,0.0,0.7755102040816326,0.7755102040816326,0.9693877551020408,44,38,0,0.9038810164315959,0.7959852563869659,0.8968827015189123
41,Healthcare,41043,0.05,196,0.3520408163265306,0.8405797101449275,0.08695652173913043,0.6479591836734694,0.6479591836734694,0.9438775510204082,69,58,6,0.8973644384009328,0.7223416879869113,0.8844998613563144
42,RLV,42042,0.05,195,0.3384615384615385,0.8939393939393939,0.06060606060606061,0.6615384615384615,0.6615384615384615,0.9641025641025641,66,59,4,0.9008518467661284,0.7327079819445712,0.892656111454004
42,Healthcare,42043,0.05,196,0.2653061224489796,0.9615384615384616,0.019230769230769232,0.7346938775510204,0.7346938775510203,0.9897959183673469,52,50,1,0.9006093816243564,0.7719508985351626,0.8983030646622132
