arm,k,domain,A_triad,TS_mean,SR_mean,Rel_mean,genesis_rmsd_vs_ref,Ag_agreement_vs_ref
mlp1_r4,28,Healthcare,0.7390974416725888,0.915426987314296,0.8071666666666667,0.8312189308077953,0.0252176637756946,0.9657534246575342
attn1,28,RLV,0.6956867934758542,0.9194772145827164,0.8792500000000001,0.8549676722877311,0.1039802724754914,0.9121245828698554
attn1,28,Healthcare,0.7361920925544618,0.9155512055304288,0.816,0.8329499034804957,0.0917790795853005,0.8744292237442922
mlp1_tanh_s018_r2,29,RLV,0.7110510778141697,0.9148137087586936,0.8365,0.8378254570103146,0.0,1.0
mlp1_tanh_s018_r2,29,Healthcare,0.7326780486904916,0.9150430943810708,0.8381666666666667,0.8446427165315059,0.0,1.0
mlp1_relu,29,RLV,0.7221062261078955,0.9155780029471484,0.8544166666666666,0.850296586866488,0.0363169547619671,0.9810901001112348
mlp1_relu,29,Healthcare,0.720004982361672,0.9147985337499444,0.8483333333333333,0.8470852498476908,0.0408088417441811,0.9709821428571428
mlp2_tanh,29,RLV,0.7229481151862349,0.9155726055846573,0.8571666666666666,0.8493318595997245,0.1006359207604319,0.9010011123470524
mlp2_tanh,29,Healthcare,0.7223501085925825,0.9152976830542712,0.8549166666666668,0.855267409008014,0.0777965592010048,0.9263392857142856
mlp1_s009,29,RLV,0.7128986775105534,0.9155355594881772,0.8608333333333333,0.8473304341260942,0.0355030847918607,0.9621802002224694
mlp1_s009,29,Healthcare,0.7291310405631023,0.9155663498368036,0.8623333333333334,0.8569696190740413,0.0289619836051989,0.9631696428571428
mlp1_s036,29,RLV,0.7036629812028271,0.9130175179487086,0.7835000000000001,0.8150827765596511,0.0657037646621626,0.9343715239154616
mlp1_s036,29,Healthcare,0.7384024621321812,0.9134276007538092,0.7763333333333332,0.8158178670268009,0.0567947633217263,0.90625
mlp1_r1,29,RLV,0.7079574458650392,0.9147478276565484,0.8342499999999999,0.8336203277869112,0.0171620257239616,0.9911012235817576
mlp1_r1,29,Healthcare,0.7359655736447784,0.9153215672380892,0.8466666666666666,0.8482844411802423,0.0148132295344179,0.9787946428571428
mlp1_r4,29,RLV,0.7063858758701858,0.9146119228113724,0.8299166666666667,0.838177360857815,0.0295368653316992,0.971078976640712
mlp1_r4,29,Healthcare,0.742096727761617,0.9155369830547816,0.8405833333333333,0.8506397316032931,0.0227547408396337,0.9754464285714286
attn1,29,RLV,0.7209040467935889,0.9160458451631882,0.8767499999999999,0.8605591917372873,0.0809618246049713,0.9254727474972192
attn1,29,Healthcare,0.724999814423644,0.9157827669595344,0.8680833333333333,0.8573369944521887,0.0520972473522224,0.9397321428571428
mlp1_tanh_s018_r2,30,RLV,0.6934183423842629,0.9166203288108368,0.8769166666666668,0.8531416933246735,0.0,1.0
mlp1_tanh_s018_r2,30,Healthcare,0.750956177453427,0.9202125618060542,0.82975,0.851362429352126,0.0,1.0
mlp1_relu,30,RLV,0.6965657942258767,0.91655647784437,0.8908333333333335,0.8607983260697732,0.0622238161866842,0.955995599559956
mlp1_relu,30,Healthcare,0.7460634509811578,0.920186387772022,0.8359166666666666,0.8519803987627591,0.043361278586659,0.9702315325248072
mlp2_tanh,30,RLV,0.6864530668816361,0.9167304084145036,0.8909999999999999,0.8547520435756932,0.0589773668387336,0.9416941694169416
mlp2_tanh,30,Healthcare,0.7529935135213287,0.9206049762608808,0.8469999999999999,0.8640082009510244,0.1070640648828761,0.8699007717750827
mlp1_s009,30,RLV,0.697076669794427,0.91704610593613,0.8935,0.8622107394003845,0.0359235244377198,0.955995599559956
mlp1_s009,30,Healthcare,0.7467695499553296,0.9204014895462478,0.8390833333333333,0.8529973355503826,0.0324573278291501,0.9547960308710032
mlp1_s036,30,RLV,0.6732114543940341,0.91467619180756,0.8067499999999999,0.8119236966406137,0.0672015939485689,0.9042904290429042
mlp1_s036,30,Healthcare,0.7519085860770769,0.9187856469798632,0.7755,0.8323173365430024,0.0621095067345797,0.9106945975744212
mlp1_r1,30,RLV,0.6920054036103198,0.9164538264397902,0.8795833333333334,0.8537317035585821,0.0179570707029008,0.99009900990099
mlp1_r1,30,Healthcare,0.7247234937539991,0.9186181973505904,0.7929166666666667,0.8295369526219193,0.0450014064531033,0.960308710033076
mlp1_r4,30,RLV,0.7069798088524961,0.9175966499861524,0.8975,0.8666453243292174,0.0401204831242708,0.9647964796479648
mlp1_r4,30,Healthcare,0.7339002347253425,0.9193460492759165,0.8101666666666667,0.836668917097781,0.0396730690285221,0.960308710033076
attn1,30,RLV,0.6746333617005938,0.9161313583084588,0.8852500000000001,0.85248724773712,0.0651844906188291,0.9328932893289328
attn1,30,Healthcare,0.7367334209673841,0.9197967129703876,0.82525,0.8464046109646414,0.0734900049055262,0.9095920617420066
mlp1_tanh_s018_r2,31,RLV,0.6947456695145703,0.91731936652378,0.8590000000000001,0.845704168998533,0.0,1.0
mlp1_tanh_s018_r2,31,Healthcare,0.7028557907995648,0.916533966013864,0.8704166666666667,0.854709651936149,0.0,1.0
mlp1_relu,31,RLV,0.6999601560698787,0.9174553722224308,0.8904166666666667,0.8574542947777508,0.0635162092996782,0.951219512195122
mlp1_relu,31,Healthcare,0.6859732471988572,0.9156889408899967,0.85425,0.8449054818156526,0.0369960313488476,0.9686147186147186
mlp2_tanh,31,RLV,0.6948638587261534,0.9171496612169356,0.8718333333333333,0.8515331940291391,0.0880741513151764,0.8968957871396895
mlp2_tanh,31,Healthcare,0.6683950940883179,0.9146121888119402,0.8249166666666667,0.8273007593529718,0.0653759934766441,0.9253246753246752
mlp1_s009,31,RLV,0.6992126997470615,0.9176796596235648,0.88425,0.8557272244438626,0.03444032331373,0.9645232815964524
mlp1_s009,31,Healthcare,0.6920180803163594,0.9160741048437328,0.8690000000000001,0.8483475296985847,0.0206939211211418,0.9805194805194806
mlp1_s036,31,RLV,0.6815218458143826,0.9154581642634076,0.7860833333333334,0.8020111325192357,0.0668224365619941,0.9002217294900222
mlp1_s036,31,Healthcare,0.7171837050943997,0.9171126588328026,0.8614166666666666,0.8537159760986824,0.0389442116060353,0.961038961038961
mlp1_r1,31,RLV,0.697368810529999,0.9175656533934188,0.8613333333333333,0.8473893169211866,0.0212967709479707,0.9866962305986696
mlp1_r1,31,Healthcare,0.6903769816770691,0.915688604362876,0.8571666666666666,0.8436446120029756,0.0218795040313777,0.974025974025974
