k,domain,eval_seed,A_triad,CKA_genesis_repair,CKA_genesis_context,CKA_repair_context,TS_mean,SR_mean,SR_zero_events,Rel_mean,Rel_event_sd,baseline_balanced_accuracy,baseline_f1
38,Healthcare,38043,0.6945310330732871,0.883272588955398,0.5951377890416689,0.6051827212227946,0.9180146258327854,0.8500833333333334,2,0.8450585553451101,0.10705334891066473,0.5755434782608696,0.732824427480916
39,RLV,39042,0.6906429811514574,0.8586120738434139,0.6003012495933988,0.6130156200175596,0.9164785375202633,0.82075,6,0.8223985393343329,0.1595792975374882,0.4844842046407604,0.5680473372781065
39,Healthcare,39043,0.7390243966861479,0.8975006384721351,0.6561526384240647,0.6634199131622438,0.9168049354731054,0.8315833333333333,2,0.8523071723349002,0.11086591219858269,0.5594055090655509,0.6456692913385826
40,RLV,40042,0.6664902147628137,0.8540284779684129,0.5581181696820915,0.5873239966379367,0.914399674955792,0.8255,6,0.8169008468763789,0.15635157706987834,0.5435779816513762,0.6937669376693767
40,Healthcare,40043,0.6758497378209141,0.8597530418572493,0.5673474851287437,0.6004486864767492,0.9152393633993987,0.8259166666666666,3,0.82948548293809,0.11981476448465951,0.5300709219858155,0.7095115681233933
41,RLV,41042,0.7260325828889208,0.889820929838539,0.6425995279782738,0.64567729084995,0.9193670821947202,0.8701666666666666,4,0.8558556267710835,0.13139663053962955,0.5625084930017665,0.7253333333333334
41,Healthcare,41043,0.7068630206528584,0.8777088478665892,0.6084978633448993,0.6343823507470869,0.9173607559491928,0.80975,4,0.8306552718882139,0.13761380119463976,0.5935074100211715,0.7131367292225201
42,RLV,42042,0.7170820033427953,0.8833861383176355,0.6289175053428645,0.6389423663678855,0.9184270570873231,0.8473333333333334,5,0.8422252437851295,0.14724474922156267,0.5993414387031408,0.7518427518427518
42,Healthcare,42043,0.7177431186125469,0.8896997257506505,0.6221359764010248,0.6413936536859652,0.916593618681467,0.8093333333333333,4,0.83339351668316,0.1383123896745499,0.4506879674946902,0.6072423398328691
43,RLV,43042,0.6912943972032259,0.8625002479538241,0.5993901236552991,0.6119928200005544,0.9134127633355165,0.841,5,0.831031449382857,0.1472080941415134,0.6007751937984496,0.76
43,Healthcare,43043,0.719020244678939,0.8696336813277766,0.6301198493767297,0.6573072033323109,0.9156565312408285,0.7805000000000001,10,0.8083025079960151,0.19379473372418426,0.635836828059474,0.7486910994764397
44,RLV,44042,0.6925327821944666,0.8627518700358796,0.6033963362798251,0.6114501402676951,0.9138095243230862,0.8605833333333334,4,0.8407581559074343,0.13307614890505975,0.5576923076923077,0.6595174262734584
44,Healthcare,44043,0.7426443043443246,0.8925866928226862,0.6620090711971839,0.6733371490131036,0.9137963050990341,0.8221666666666667,5,0.8416457454435721,0.14866899982769183,0.5255040416240825,0.6263736263736264
