k,domain,method,reference,n,agree_with_counterfactual
34,RLV,lime,pool,150,0.28
34,RLV,shapley_vs_lime,pool,150,0.6266666666666667
34,RLV,shapley_vs_lime,local,150,0.8666666666666667
34,Healthcare,shapley,pool,150,0.31333333333333335
34,Healthcare,shapley,local,150,0.8933333333333333
34,Healthcare,lime,local,150,0.9133333333333333
34,Healthcare,lime,pool,150,0.32
34,Healthcare,shapley_vs_lime,pool,150,0.6066666666666667
34,Healthcare,shapley_vs_lime,local,150,0.8933333333333333
35,RLV,shapley,pool,150,0.29333333333333333
35,RLV,shapley,local,150,0.8066666666666666
35,RLV,lime,local,150,0.8866666666666667
35,RLV,lime,pool,150,0.24666666666666667
35,RLV,shapley_vs_lime,pool,150,0.7266666666666667
35,RLV,shapley_vs_lime,local,150,0.86
35,Healthcare,shapley,pool,150,0.26
35,Healthcare,shapley,local,150,0.86
35,Healthcare,lime,local,150,0.92
35,Healthcare,lime,pool,150,0.25333333333333335
35,Healthcare,shapley_vs_lime,pool,150,0.5133333333333333
35,Healthcare,shapley_vs_lime,local,150,0.8133333333333334
36,RLV,shapley,pool,150,0.24666666666666667
36,RLV,shapley,local,150,0.9
36,RLV,lime,local,150,0.9133333333333333
36,RLV,lime,pool,150,0.24
36,RLV,shapley_vs_lime,pool,150,0.6333333333333333
36,RLV,shapley_vs_lime,local,150,0.9133333333333333
36,Healthcare,shapley,pool,150,0.21333333333333335
36,Healthcare,shapley,local,150,0.9066666666666666
36,Healthcare,lime,local,150,0.9266666666666666
36,Healthcare,lime,pool,150,0.26666666666666666
36,Healthcare,shapley_vs_lime,pool,150,0.5666666666666667
36,Healthcare,shapley_vs_lime,local,150,0.8866666666666667
37,RLV,shapley,pool,150,0.32666666666666666
37,RLV,shapley,local,150,0.86
37,RLV,lime,local,150,0.8866666666666667
37,RLV,lime,pool,150,0.2866666666666667
37,RLV,shapley_vs_lime,pool,150,0.52
37,RLV,shapley_vs_lime,local,150,0.8666666666666667
37,Healthcare,shapley,pool,150,0.2
37,Healthcare,shapley,local,150,0.8866666666666667
37,Healthcare,lime,local,150,0.8933333333333333
37,Healthcare,lime,pool,150,0.25333333333333335
37,Healthcare,shapley_vs_lime,pool,150,0.5733333333333334
37,Healthcare,shapley_vs_lime,local,150,0.86
38,RLV,shapley,pool,150,0.22666666666666666
38,RLV,shapley,local,150,0.86
38,RLV,lime,local,150,0.8866666666666667
38,RLV,lime,pool,150,0.29333333333333333
38,RLV,shapley_vs_lime,pool,150,0.72
38,RLV,shapley_vs_lime,local,150,0.9133333333333333
38,Healthcare,shapley,pool,150,0.32
38,Healthcare,shapley,local,150,0.8666666666666667
38,Healthcare,lime,local,150,0.92
38,Healthcare,lime,pool,150,0.2866666666666667
38,Healthcare,shapley_vs_lime,pool,150,0.7666666666666667
38,Healthcare,shapley_vs_lime,local,150,0.8533333333333334
39,RLV,shapley,pool,150,0.26666666666666666
39,RLV,shapley,local,150,0.8533333333333334
39,RLV,lime,local,150,0.8733333333333333
39,RLV,lime,pool,150,0.26666666666666666
39,RLV,shapley_vs_lime,pool,150,0.4533333333333333
39,RLV,shapley_vs_lime,local,150,0.8266666666666667
39,Healthcare,shapley,pool,150,0.2733333333333333
39,Healthcare,shapley,local,150,0.8866666666666667
39,Healthcare,lime,local,150,0.9133333333333333
39,Healthcare,lime,pool,150,0.26
39,Healthcare,shapley_vs_lime,pool,150,0.6066666666666667
39,Healthcare,shapley_vs_lime,local,150,0.8733333333333333
40,RLV,shapley,pool,150,0.25333333333333335
40,RLV,shapley,local,150,0.8133333333333334
40,RLV,lime,local,150,0.8533333333333334
40,RLV,lime,pool,150,0.22666666666666666
40,RLV,shapley_vs_lime,pool,150,0.62
40,RLV,shapley_vs_lime,local,150,0.8333333333333334
40,Healthcare,shapley,pool,150,0.18
40,Healthcare,shapley,local,150,0.8733333333333333
40,Healthcare,lime,local,150,0.8933333333333333
40,Healthcare,lime,pool,150,0.22666666666666666
40,Healthcare,shapley_vs_lime,pool,150,0.6266666666666667
40,Healthcare,shapley_vs_lime,local,150,0.9
41,RLV,shapley,pool,150,0.22666666666666666
41,RLV,shapley,local,150,0.8466666666666667
41,RLV,lime,local,150,0.8733333333333333
41,RLV,lime,pool,150,0.23333333333333334
41,RLV,shapley_vs_lime,pool,150,0.68
41,RLV,shapley_vs_lime,local,150,0.86
41,Healthcare,shapley,pool,150,0.2733333333333333
41,Healthcare,shapley,local,150,0.86
41,Healthcare,lime,local,150,0.9133333333333333
41,Healthcare,lime,pool,150,0.30666666666666664
41,Healthcare,shapley_vs_lime,pool,150,0.7933333333333333
41,Healthcare,shapley_vs_lime,local,150,0.9
42,RLV,shapley,pool,150,0.24666666666666667
42,RLV,shapley,local,150,0.7933333333333333
42,RLV,lime,local,150,0.8333333333333334
42,RLV,lime,pool,150,0.24666666666666667
42,RLV,shapley_vs_lime,pool,150,0.7133333333333334
42,RLV,shapley_vs_lime,local,150,0.84
42,Healthcare,shapley,pool,150,0.17333333333333334
42,Healthcare,shapley,local,150,0.8466666666666667
42,Healthcare,lime,local,150,0.8933333333333333
42,Healthcare,lime,pool,150,0.23333333333333334
42,Healthcare,shapley_vs_lime,pool,150,0.48
42,Healthcare,shapley_vs_lime,local,150,0.82
43,RLV,shapley,pool,150,0.2866666666666667
43,RLV,shapley,local,150,0.8466666666666667
43,RLV,lime,local,150,0.8533333333333334
43,RLV,lime,pool,150,0.23333333333333334
43,RLV,shapley_vs_lime,pool,150,0.78
43,RLV,shapley_vs_lime,local,150,0.86
43,Healthcare,shapley,pool,150,0.25333333333333335
43,Healthcare,shapley,local,150,0.84
43,Healthcare,lime,local,150,0.8933333333333333
43,Healthcare,lime,pool,150,0.2733333333333333
43,Healthcare,shapley_vs_lime,pool,150,0.7466666666666667
43,Healthcare,shapley_vs_lime,local,150,0.8933333333333333
44,RLV,shapley,pool,150,0.29333333333333333
44,RLV,shapley,local,150,0.88
44,RLV,lime,local,150,0.8533333333333334
44,RLV,lime,pool,150,0.2866666666666667
44,RLV,shapley_vs_lime,pool,150,0.6733333333333333
44,RLV,shapley_vs_lime,local,150,0.8533333333333334
44,Healthcare,shapley,pool,150,0.2866666666666667
44,Healthcare,shapley,local,150,0.8866666666666667
44,Healthcare,lime,local,150,0.9
44,Healthcare,lime,pool,150,0.32
44,Healthcare,shapley_vs_lime,pool,150,0.56
44,Healthcare,shapley_vs_lime,local,150,0.8533333333333334
45,RLV,shapley,pool,150,0.24
45,RLV,shapley,local,150,0.8266666666666667
45,RLV,lime,local,150,0.8666666666666667
45,RLV,lime,pool,150,0.18666666666666668
45,RLV,shapley_vs_lime,pool,150,0.4066666666666667
45,RLV,shapley_vs_lime,local,150,0.86
45,Healthcare,shapley,pool,150,0.25333333333333335
45,Healthcare,shapley,local,150,0.9133333333333333
45,Healthcare,lime,local,150,0.9266666666666666
45,Healthcare,lime,pool,150,0.26
45,Healthcare,shapley_vs_lime,pool,150,0.7
45,Healthcare,shapley_vs_lime,local,150,0.8933333333333333
46,RLV,shapley,pool,150,0.31333333333333335
46,RLV,shapley,local,150,0.84
46,RLV,lime,local,150,0.8733333333333333
46,RLV,lime,pool,150,0.32
46,RLV,shapley_vs_lime,pool,150,0.94
46,RLV,shapley_vs_lime,local,150,0.88
46,Healthcare,shapley,pool,150,0.22
46,Healthcare,shapley,local,150,0.84
46,Healthcare,lime,local,150,0.8466666666666667
46,Healthcare,lime,pool,150,0.35333333333333333
